@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
114,5805,0,5416,389,0.932989,1,0.517334,1,0.482666,0.681898,0.966494,1.034667,0
115,5805,0,5415,390,0.932817,1,0.51738,1,0.48262,0.681938,0.966408,1.034759,0
116,5805,0,5414,391,0.932644,1,0.517426,1,0.482574,0.681978,0.966322,1.034852,0
117,5805,0,5413,392,0.932472,1,0.517472,1,0.482528,0.682018,0.966236,1.034944,0
118,5805,0,5412,393,0.9323,1,0.517518,1,0.482482,0.682059,0.96615,1.035036,0
119,5805,0,5411,394,0.932127,1,0.517564,1,0.482436,0.682099,0.966064,1.035128,0
120,5805,0,5410,395,0.931955,1,0.51761,1,0.48239,0.682139,0.965978,1.035221,0
121,5805,0,5409,396,0.931783,1,0.517657,1,0.482343,0.682179,0.965891,1.035313,0
122,5805,0,5408,397,0.931611,1,0.517703,1,0.482297,0.682219,0.965805,1.035405,0
123,5805,0,5407,398,0.931438,1,0.517749,1,0.482251,0.682259,0.965719,1.035498,0
124,5805,0,5406,399,0.931266,1,0.517795,1,0.482205,0.682299,0.965633,1.03559,0
125,5805,0,5405,400,0.931094,1,0.517841,1,0.482159,0.682339,0.965547,1.035682,0
126,5805,0,5404,401,0.930922,1,0.517887,1,0.482113,0.682379,0.965461,1.035775,0
127,5805,0,5403,402,0.930749,1,0.517934,1,0.482066,0.682419,0.965375,1.035867,0
128,5805,0,5402,403,0.930577,1,0.51798,1,0.48202,0.682459,0.965289,1.03596,0
129,5805,0,5401,404,0.930405,1,0.518026,1,0.481974,0.6825,0.965202,1.036052,0
130,5805,0,5400,405,0.930233,1,0.518072,1,0.481928,0.68254,0.965116,1.036145,0
131,5805,0,5399,406,0.93006,1,0.518119,1,0.481881,0.68258,0.96503,1.036237,0
132,5805,0,5398,407,0.929888,1,0.518165,1,0.481835,0.68262,0.964944,1.03633,0
133,5805,0,5397,408,0.929716,1,0.518211,1,0.481789,0.68266,0.964858,1.036422,0
134,5805,0,5396,409,0.929543,1,0.518257,1,0.481743,0.6827,0.964772,1.036515,0
135,5805,0,5395,410,0.929371,1,0.518304,1,0.481696,0.68274,0.964686,1.036607,0
136,5805,0,5394,411,0.929199,1,0.51835,1,0.48165,0.682781,0.964599,1.0367,0
137,5805,0,5393,412,0.929027,1,0.518396,1,0.481604,0.682821,0.964513,1.036792,0
138,5805,0,5392,413,0.928854,1,0.518442,1,0.481558,0.682861,0.964427,1.036885,0
139,5805,0,5391,414,0.928682,1,0.518489,1,0.481511,0.682901,0.964341,1.036977,0
140,5805,0,5390,415,0.92851,1,0.518535,1,0.481465,0.682941,0.964255,1.03707,0
141,5805,0,5389,416,0.928338,1,0.518581,1,0.481419,0.682981,0.964169,1.037163,0
142,5805,0,5388,417,0.928165,1,0.518628,1,0.481372,0.683022,0.964083,1.037255,0
143,5805,0,5387,418,0.927993,1,0.518674,1,0.481326,0.683062,0.963997,1.037348,0
144,5805,0,5386,419,0.927821,1,0.51872,1,0.48128,0.683102,0.96391,1.037441,0
145,5805,0,5385,420,0.927649,1,0.518767,1,0.481233,0.683142,0.963824,1.037534,0
146,5805,0,5384,421,0.927476,1,0.518813,1,0.481187,0.683182,0.963738,1.037626,0
147,5805,0,5383,422,0.927304,1,0.518859,1,0.481141,0.683223,0.963652,1.037719,0
148,5805,0,5382,423,0.927132,1,0.518906,1,0.481094,0.683263,0.963566,1.037812,0
149,5805,0,5381,424,0.92696,1,0.518952,1,0.481048,0.683303,0.96348,1.037905,0
150,5805,0,5380,425,0.926787,1,0.518999,1,0.481001,0.683343,0.963394,1.037997,0
151,5805,0,5379,426,0.926615,1,0.519045,1,0.480955,0.683383,0.963307,1.03809,0
152,5805,0,5378,427,0.926443,1,0.519091,1,0.480909,0.683424,0.963221,1.038183,0
153,5805,0,5377,428,0.92627,1,0.519138,1,0.480862,0.683464,0.963135,1.038276,0
154,5805,0,5376,429,0.926098,1,0.519184,1,0.480816,0.683504,0.963049,1.038369,0
155,5805,0,5375,430,0.925926,1,0.519231,1,0.480769,0.683544,0.962963,1.038462,0
156,5805,0,5374,431,0.925754,1,0.519277,1,0.480723,0.683585,0.962877,1.038554,0
157,5805,0,5373,432,0.925581,1,0.519324,1,0.480676,0.683625,0.962791,1.038647,0
158,5805,0,5372,433,0.925409,1,0.51937,1,0.48063,0.683665,0.962705,1.03874,0
159,5805,0,5371,434,0.925237,1,0.519417,1,0.480583,0.683705,0.962618,1.038833,0
160,5805,0,5370,435,0.925065,1,0.519463,1,0.480537,0.683746,0.962532,1.038926,0
161,5805,0,5369,436,0.924892,1,0.51951,1,0.48049,0.683786,0.962446,1.039019,0
162,5805,0,5368,437,0.92472,1,0.519556,1,0.480444,0.683826,0.96236,1.039112,0
163,5805,0,5367,438,0.924548,1,0.519603,1,0.480397,0.683866,0.962274,1.039205,0
164,5805,0,5366,439,0.924376,1,0.519649,1,0.480351,0.683907,0.962188,1.039298,0
165,5805,0,5365,440,0.924203,1,0.519696,1,0.480304,0.683947,0.962102,1.039391,0
166,5805,0,5364,441,0.924031,1,0.519742,1,0.480258,0.683987,0.962016,1.039484,0
167,5805,0,5363,442,0.923859,1,0.519789,1,0.480211,0.684028,0.961929,1.039577,0
168,5805,0,5362,443,0.923686,1,0.519835,1,0.480165,0.684068,0.961843,1.03967,0
169,5805,0,5361,444,0.923514,1,0.519882,1,0.480118,0.684108,0.961757,1.039764,0
170,5805,0,5360,445,0.923342,1,0.519928,1,0.480072,0.684148,0.961671,1.039857,0
171,5805,0,5359,446,0.92317,1,0.519975,1,0.480025,0.684189,0.961585,1.03995,0
172,5805,0,5358,447,0.922997,1,0.520021,1,0.479979,0.684229,0.961499,1.040043,0
173,5805,0,5357,448,0.922825,1,0.520068,1,0.479932,0.684269,0.961413,1.040136,0
174,5805,0,5356,449,0.922653,1,0.520115,1,0.479885,0.68431,0.961326,1.040229,0
175,5805,0,5355,450,0.922481,1,0.520161,1,0.479839,0.68435,0.96124,1.040323,0
176,5805,0,5354,451,0.922308,1,0.520208,1,0.479792,0.68439,0.961154,1.040416,0
177,5805,0,5353,452,0.922136,1,0.520255,1,0.479745,0.684431,0.961068,1.040509,0
178,5805,0,5352,453,0.921964,1,0.520301,1,0.479699,0.684471,0.960982,1.040602,0
179,5805,0,5351,454,0.921792,1,0.520348,1,0.479652,0.684512,0.960896,1.040696,0
180,5805,0,5350,455,0.921619,1,0.520394,1,0.479606,0.684552,0.96081,1.040789,0
181,5805,0,5349,456,0.921447,1,0.520441,1,0.479559,0.684592,0.960724,1.040882,0
182,5805,0,5348,457,0.921275,1,0.520488,1,0.479512,0.684633,0.960637,1.040976,0
