energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,near_native
4356,2,66,2,1,2.828571429,0.178991639,0.114557823,40.81668991,0
(4624+0j),(2-6.29700291341e-17j),69,(2+0j),1,2.857142857,0.151386073,0.080952381,15.03792488,0
4096,2,64,2,1,2.685714286,0.169765775,0.126734694,3.041821073,0
4900,1.938057968,69,2,1,3.314285714,0.220483579,0.110602968,4.778522994,0
(4624+0j),(2+0j),69,(2+0j),1,2.8,0.17692143,0.107142857,2.730429188,0
4624,1.842915892,69,1.909775642,1,3.714285714,0.240136025,0.147414966,3.545353067,0
(4761+0j),(2+0j),69,(2+0j),1,2.885714286,0.183037639,0.108537415,1.781086222,0
4761,1.935552029,70,2,1,3.028571429,0.199958544,0.138639456,21.50730733,0
4900,1.93967758,70,2,1,2.885714286,0.179854537,0.115578231,3.147841271,0
4096,2,64,2,1,2.285714286,0.150656623,0.085170068,2.787621323,0
4225,1.940275195,66,2,1,2.657142857,0.15748723,0.113265306,10.88485469,0
4761,1.878986081,70,2,1,3.514285714,0.210703604,0.159569161,6.340698033,0
4761,1.890292056,70,2,1,2.6,0.168493136,0.06952381,2.920917887,0
4356,2,66,2,1,3.171428571,0.193799826,0.128231293,3.343881342,0
4761,1.906242135,70,1.934866159,1,3.2,0.227740076,0.115034014,3.345777763,0
4900,2,70,2,1,3.142857143,0.200893513,0.167619048,15.57648364,0
4624,1.908832431,68,2,1,3.028571429,0.188991639,0.106598639,6.29566002,0
4225,1.925618911,66,2,1,2.971428571,0.179131269,0.126836735,5.707812715,0
(4900+0j),(2+0j),70,(2+5.63222630469e-16j),1,2.828571429,0.178149145,0.105544218,3.654669415,0
4356,1.839163269,67,2,1,3.285714286,0.207657753,0.150646259,9.42406144,0
4761,1.939331917,70,1.950393176,1,2.657142857,0.20315055,0.06292517,0,0
4761,1.939743371,70,1.941604884,1,3,0.206727756,0.137687075,12.81940164,0
4900,2,70,2,1,3.114285714,0.188353476,0.151972789,12.88220049,0
4900,2,70,2,1,2.8,0.175000263,0.071020408,1.251999418,0
4900,1.884731007,70,2,1,3.428571429,0.227476314,0.174274376,3.776859191,0
4225,1.892189016,66,2,1,2.885714286,0.177870073,0.118843537,4.939835587,0
(4624+0j),(1.91313151779+0j),69,(2+0j),1,2.714285714,0.17710587,0.053809524,2.864577731,0
4489,1.936394462,68,2,1,2.942857143,0.185785256,0.13792517,7.622114894,0
4900,2,70,2,1,3.114285714,0.194495774,0.076360544,3.31405285,0
4624,1.906478113,69,1.914856027,1,3.257142857,0.228310567,0.143390023,2.777001205,0
4761,1.912848995,70,1.959258666,1,3.4,0.226928101,0.143514739,11.84788325,0
