num_edges,density,avg_degree,percent_endpoints,energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,eccentricity,diameter,radius,%central_nodes,near_native
242,0.100207039,6.914285714,0,(484+0j),(6.26970125039+0j),70,(8.3113543152+0j),0.483471074,3.342857143,0.325343622,0.269318697,2.10525073,5.5,5,6,0.428571429,1
235,0.097308489,6.714285714,0.014285714,(470+0j),(6.29621050961+0j),70,(8.21800142427+0j),0.489361702,3.285714286,0.318574339,0.276566608,2.97641039,5.614285714,5,6,0.442857143,1
228,0.094409938,6.514285714,0.028571429,(456+0j),(6.25858661791+0j),70,(8.03947496845+0j),0.486842105,3.171428571,0.312020578,0.240393733,1.76050093,5.928571429,5,6,0.414285714,1
231,0.095652174,6.6,0.014285714,(462+0j),(6.28815010644+0j),70,(8.14794195867+0j),0.489177489,3.228571429,0.313116141,0.268391053,1.86153747,5.642857143,5,6,0.414285714,1
229,0.094824017,6.542857143,0,(458+0j),(6.60239247231+0j),70,(7.2877362292+0j),0.497816594,3.257142857,0.313885747,0.269943311,1.964374322,5.414285714,5,6,0.4,1
233,0.096480331,6.657142857,0.014285714,(466+0j),(6.28814050761+0j),70,(8.23150061896+0j),0.484978541,3.228571429,0.312672723,0.272249021,2.422542304,5.742857143,5,6,0.385714286,1
242,0.100207039,6.914285714,0,(484+0j),(6.38032826621+0j),70,(8.55559870234+0j),0.504132231,3.485714286,0.326654367,0.303733251,2.35829428,5.371428571,5,6,0.414285714,1
224,0.092753623,6.4,0.014285714,(448+0j),(6.15764757733+0j),70,(7.26125273063+0j),0.477678571,3.057142857,0.310557776,0.245238095,2.239591677,5.714285714,5,6,0.5,1
241,0.099792961,6.885714286,0.014285714,(482+0j),(6.7618926306+0j),70,(8.41438078423+0j),0.485477178,3.342857143,0.32519091,0.275194092,2.126994628,5.557142857,5,6,0.342857143,1
241,0.099792961,6.885714286,0,(482+0j),(6.86182274969+0j),70,(8.32640765595+0j),0.497925311,3.428571429,0.316441922,0.298734202,2.017969722,5.585714286,5,6,0.457142857,1
243,0.100621118,6.942857143,0,(486+0j),(6.34377529144+0j),70,(8.94413816863+0j),0.485596708,3.371428571,0.318576843,0.278894042,1.855214466,5.6,5,6,0.442857143,1
228,0.094409938,6.514285714,0,(456+0j),(6.2892571413+0j),70,(7.62858459558+0j),0.486842105,3.171428571,0.315227962,0.248935271,1.727673875,5.585714286,5,6,0.457142857,1
241,0.099792961,6.885714286,0,(482+0j),(6.66853233585+0j),70,(7.68003988636+0j),0.493775934,3.4,0.32551791,0.278940108,1.602058798,5.328571429,5,6,0.385714286,1
245,0.101449275,7,0.028571429,(490+0j),(7.00805678077+0j),70,(8.70191896891+0j),0.497959184,3.485714286,0.327433578,0.273011988,1.561686168,5.785714286,5,6,0.314285714,1
235,0.097308489,6.714285714,0,(470+0j),(6.24241859682+0j),70,(8.29481040243+0j),0.489361702,3.285714286,0.31227002,0.264345496,1.798543225,5.657142857,5,6,0.471428571,1
243,0.100621118,6.942857143,0,(486+0j),(6.57808131142+0j),70,(8.41032359271+0j),0.49382716,3.428571429,0.318895762,0.295249512,1.703846462,5.571428571,5,6,0.471428571,1
225,0.093167702,6.428571429,0,(450+0j),(6.09159801407+0j),70,(7.44438619147+0j),0.488888889,3.142857143,0.312461392,0.275664811,2.240185744,5.685714286,5,6,0.485714286,1
243,0.100621118,6.942857143,0.014285714,(486+0j),(6.54263344193+0j),70,(8.48397377094+0j),0.485596708,3.371428571,0.325038512,0.273935905,2.020819863,5.471428571,5,6,0.4,1
254,0.105175983,7.257142857,0,(508+0j),(6.72677817337+0j),70,(8.73835584988+0j),0.472440945,3.428571429,0.335459711,0.300014351,1.717815416,5.1,5,6,0.314285714,1
236,0.097722567,6.742857143,0.014285714,(472+0j),(6.26224397633+0j),70,(8.39734680759+0j),0.5,3.371428571,0.32106258,0.273862725,2.493383769,5.8,5,6,0.342857143,1
